incident_type,severity,affected_people,injured_people,trapped_people,vulnerable_people,children_count,elderly_count,waiting_time_hours,priority_level
Structural Collapse,critical,96,31,0,4,15,7,45.7,critical
Flood,low,33,0,0,7,5,5,21.3,low
Chemical Spill,high,80,0,0,17,27,10,12.9,medium
Fire,low,4,0,0,1,0,0,7.7,low
Fire,medium,40,3,12,3,6,8,5.3,critical
Flood,high,49,0,17,12,7,5,13.1,high
Chemical Spill,low,24,0,0,3,7,4,47.2,low
Medical,critical,493,440,0,119,91,89,22.5,critical
Fire,critical,108,49,0,21,7,14,32.6,critical
Chemical Spill,high,104,3,0,8,39,18,29.0,high
Chemical Spill,low,8,0,0,1,3,0,10.2,low
Structural Collapse,low,36,0,0,9,8,6,29.1,low
Chemical Spill,low,20,1,0,1,5,0,42.1,medium
Fire,critical,27,16,0,8,8,1,29.9,critical
Earthquake,medium,27,17,12,3,9,3,17.6,critical
Fire,critical,153,0,0,30,5,29,0.4,medium
Structural Collapse,medium,30,0,0,6,0,6,9.6,low
Chemical Spill,critical,209,0,0,22,20,11,17.5,high
Medical,critical,448,0,256,71,86,37,3.4,critical
Earthquake,low,7,2,3,1,2,1,3.6,low
Structural Collapse,critical,438,0,0,17,37,66,12.2,high
Earthquake,medium,22,0,0,1,8,0,1.9,low
Fire,high,13,12,0,2,3,0,41.9,high
Medical,critical,161,33,0,22,12,22,35.8,critical
Chemical Spill,critical,328,0,0,61,47,61,11.9,high
Flood,medium,8,5,0,2,3,0,10.3,medium
Structural Collapse,medium,11,0,2,2,0,0,32.7,medium
Medical,critical,88,0,0,15,31,1,16.5,medium
Chemical Spill,high,19,3,3,0,1,3,16.6,medium
Earthquake,low,21,0,6,1,3,4,33.3,medium
Structural Collapse,low,42,0,0,8,7,3,43.7,low
Structural Collapse,medium,1,0,0,0,0,0,19.6,medium
Medical,low,2,0,0,0,0,0,19.7,low
Medical,low,7,0,0,1,1,1,17.6,low
Medical,low,49,17,0,0,13,6,20.0,high
Chemical Spill,high,141,94,0,36,51,17,30.5,critical
Earthquake,medium,23,0,0,6,6,2,27.5,medium
Fire,low,8,6,1,2,2,0,15.8,medium
Medical,high,165,57,127,34,45,19,34.7,critical
Fire,low,8,0,0,0,0,0,3.9,low
Fire,low,32,0,0,6,2,5,33.5,low
Chemical Spill,high,16,0,0,0,6,1,45.8,medium
Flood,high,71,0,8,5,22,4,38.9,high
Fire,medium,3,0,0,0,0,0,31.8,medium
Structural Collapse,critical,302,0,0,47,102,27,41.6,high
Fire,medium,18,0,2,1,4,2,0.5,low
Medical,high,160,110,0,3,26,25,47.8,critical
Earthquake,medium,19,0,0,3,1,1,17.2,medium
Chemical Spill,low,8,0,0,2,2,1,29.1,low
Chemical Spill,low,39,9,0,7,0,5,31.9,high
Flood,high,13,10,0,2,0,2,34.4,high
Flood,medium,48,6,2,13,0,2,4.6,high
Fire,low,34,0,16,1,9,5,46.2,medium
Earthquake,low,19,0,0,1,6,3,41.1,low
Chemical Spill,low,1,0,0,0,0,0,34.5,low
Chemical Spill,medium,33,33,0,2,1,3,26.3,critical
Fire,medium,19,6,0,2,4,1,26.4,high
Fire,low,19,15,0,0,4,0,28.7,medium
Structural Collapse,critical,81,37,0,7,24,3,41.0,critical
Structural Collapse,high,77,6,40,19,9,13,38.0,critical
Chemical Spill,low,14,0,0,1,0,1,25.1,low
Chemical Spill,low,14,0,0,4,3,0,20.7,low
Fire,critical,81,0,0,14,19,2,28.9,medium
Flood,medium,40,2,0,0,4,2,29.4,high
Flood,high,173,0,142,20,57,3,10.4,critical
Medical,critical,345,0,0,74,42,28,33.3,high
Flood,low,29,0,0,6,4,3,39.2,low
Medical,medium,14,4,0,2,4,1,8.0,high
Structural Collapse,high,9,1,7,2,1,1,29.8,critical
Flood,medium,15,0,0,1,1,3,6.4,low
Medical,low,11,0,0,1,4,2,5.7,low
Medical,low,9,2,5,1,3,1,21.5,high
Fire,medium,40,0,0,12,6,6,18.7,medium
Medical,critical,408,0,0,4,88,35,35.3,high
Medical,medium,25,4,0,4,5,1,40.6,high
Chemical Spill,low,21,0,0,2,8,3,24.2,low
Structural Collapse,critical,131,71,0,11,40,2,8.0,critical
Fire,medium,19,14,3,2,6,0,30.1,critical
Earthquake,low,13,6,0,0,3,2,34.9,low
Earthquake,high,27,0,0,0,1,1,44.2,medium
Medical,low,35,29,0,1,14,3,3.0,high
Flood,medium,6,1,0,0,0,0,0.9,low
Structural Collapse,critical,104,0,0,18,3,0,10.2,high
Fire,critical,38,0,8,2,14,3,3.7,high
Chemical Spill,low,5,0,0,1,1,1,15.6,low
Structural Collapse,medium,34,3,0,9,10,2,35.0,high
Earthquake,medium,40,0,0,12,6,7,16.0,medium
Earthquake,medium,1,1,0,0,0,0,2.3,low
Earthquake,low,23,0,0,5,6,2,25.0,low
Medical,critical,44,14,0,9,9,7,35.1,critical
Chemical Spill,high,181,0,57,38,60,8,3.7,critical
Chemical Spill,medium,26,14,0,3,10,0,4.4,high
Chemical Spill,low,11,0,0,1,2,2,4.4,low
Chemical Spill,high,5,3,0,0,1,0,12.0,medium
Structural Collapse,medium,28,20,0,3,1,5,23.3,critical
Fire,low,22,0,0,2,1,4,23.1,low
Earthquake,low,32,0,0,4,6,4,16.9,low
Earthquake,medium,44,0,9,1,11,6,36.2,medium
Flood,high,174,34,0,25,68,28,22.2,critical
Chemical Spill,medium,46,25,0,6,13,6,42.1,critical
Fire,critical,310,0,62,66,51,3,34.3,critical
Chemical Spill,critical,86,0,0,7,20,8,1.4,medium
Chemical Spill,low,41,24,17,7,7,6,34.3,critical
Earthquake,low,11,0,10,2,0,1,4.1,high
Chemical Spill,high,131,0,0,25,27,20,37.8,high
Structural Collapse,medium,22,11,0,5,4,4,35.7,high
Chemical Spill,medium,12,12,0,0,2,2,14.9,medium
Chemical Spill,low,27,0,13,8,2,1,23.1,medium
Earthquake,medium,35,0,0,6,7,7,19.9,medium
Fire,medium,49,46,0,6,18,0,15.8,critical
Earthquake,low,28,0,0,8,6,5,38.4,low
Flood,medium,21,0,0,1,8,3,36.8,medium
Medical,medium,46,0,0,13,5,8,32.7,medium
Medical,high,48,43,0,10,1,9,4.5,critical
Medical,medium,6,0,0,0,1,1,30.5,medium
Earthquake,low,6,4,0,0,1,1,38.7,low
Structural Collapse,critical,494,85,184,28,68,46,2.0,critical
Earthquake,critical,84,62,0,1,31,7,29.4,critical
Flood,medium,25,9,12,2,6,0,15.1,critical
Earthquake,medium,24,18,0,4,3,0,15.8,critical
Earthquake,high,84,20,29,2,33,5,23.3,critical
Chemical Spill,high,29,3,3,7,11,4,21.7,high
Fire,high,153,0,19,23,22,6,13.8,high
Structural Collapse,low,32,0,0,6,9,2,33.5,low
Flood,medium,39,24,3,9,2,1,21.9,critical
Earthquake,critical,356,0,0,12,80,22,39.4,high
Earthquake,low,7,1,0,2,1,1,34.7,low
Earthquake,critical,177,0,0,19,27,22,35.8,high
Chemical Spill,critical,480,159,0,47,4,60,13.5,critical
Earthquake,low,47,16,0,1,11,7,8.0,high
Structural Collapse,low,19,12,0,5,6,2,19.0,high
Medical,critical,378,0,0,57,135,41,39.1,high
Structural Collapse,critical,439,382,0,43,138,67,16.7,critical
Fire,low,30,0,0,1,7,6,44.8,low
Earthquake,low,0,0,0,0,0,0,21.9,low
Fire,low,23,0,0,4,5,1,0.6,low
Chemical Spill,low,48,0,0,5,14,0,26.0,low
Flood,medium,6,0,0,1,1,1,3.2,low
Structural Collapse,low,21,6,12,4,3,4,5.1,critical
Earthquake,medium,11,0,0,2,0,1,9.1,low
Chemical Spill,medium,1,1,0,0,0,0,29.6,medium
Flood,high,87,0,0,14,25,8,44.5,medium
Chemical Spill,medium,5,3,0,1,1,1,47.3,medium
Flood,low,7,0,2,1,2,1,4.9,low
Earthquake,medium,7,2,0,2,1,0,32.8,medium
Flood,low,4,0,2,1,0,0,37.6,low
Flood,low,37,0,7,1,10,0,30.2,medium
Fire,medium,13,0,11,0,0,2,2.8,critical
Fire,medium,2,0,0,0,0,0,38.3,medium
Medical,critical,19,0,10,3,7,3,5.9,critical
Medical,critical,12,1,0,1,2,2,0.5,medium
Structural Collapse,critical,103,0,0,26,3,7,14.6,high
Medical,critical,466,0,0,56,116,25,16.0,high
Structural Collapse,low,20,0,0,5,7,1,42.8,low
Chemical Spill,high,119,48,100,19,28,16,13.3,critical
Fire,high,22,0,0,1,8,3,3.9,medium
Flood,critical,381,0,0,13,151,59,23.1,high
Medical,medium,5,0,0,1,0,0,15.0,medium
Fire,medium,30,0,0,4,8,4,11.4,medium
Flood,low,33,22,0,3,11,3,1.2,high
Earthquake,high,189,2,0,17,51,33,38.4,high
Chemical Spill,high,180,0,0,2,53,25,24.8,high
Structural Collapse,low,33,0,0,2,6,3,17.9,low
Flood,critical,175,16,0,18,44,9,3.0,critical
Earthquake,low,0,0,0,0,0,0,2.7,low
Chemical Spill,low,0,0,0,0,0,0,42.9,low
Chemical Spill,critical,39,3,0,6,15,5,34.8,high
Medical,medium,27,0,0,5,5,0,31.1,medium
Structural Collapse,medium,41,19,0,0,3,0,26.6,high
Chemical Spill,critical,103,0,0,15,23,11,26.8,high
Medical,high,81,0,0,18,28,15,38.2,medium
Medical,medium,43,0,0,8,15,7,48.0,medium
Medical,critical,34,27,0,0,12,3,44.9,critical
Flood,low,45,0,0,0,2,0,15.3,low
Flood,low,8,0,0,2,1,0,14.7,low
Fire,critical,44,0,0,13,15,8,2.4,medium
Fire,high,5,0,0,0,1,0,28.0,medium
Medical,high,30,7,0,3,0,2,24.1,medium
Medical,low,2,0,0,0,0,0,23.8,low
Medical,medium,29,2,0,2,3,1,39.8,high
Chemical Spill,low,25,0,0,0,4,0,21.7,low
Structural Collapse,low,21,4,6,3,1,1,14.8,high
Fire,critical,107,42,94,13,13,15,32.0,critical
Chemical Spill,high,46,0,0,12,18,9,2.8,low
Flood,low,13,2,0,0,3,2,43.9,low
Earthquake,medium,8,0,7,1,1,0,24.2,critical
Medical,high,55,47,0,1,15,0,37.5,critical
Earthquake,critical,205,0,0,9,4,10,24.6,high
Fire,critical,90,0,0,2,26,1,8.7,medium
Structural Collapse,low,6,1,0,1,0,1,4.8,low
Flood,high,104,28,16,3,28,3,10.9,critical
Chemical Spill,medium,6,3,0,0,1,1,40.9,medium
Medical,high,174,171,153,22,7,13,47.9,critical
Medical,medium,49,0,0,1,4,3,28.3,medium
Earthquake,medium,31,15,31,4,7,3,45.9,critical
Medical,high,14,0,0,4,0,2,17.4,medium
Fire,low,23,23,0,3,4,4,7.1,high
Structural Collapse,medium,27,0,0,3,10,1,46.0,medium
Flood,medium,35,0,0,2,1,7,11.3,medium
Earthquake,low,28,0,0,0,5,2,43.3,low
Medical,low,47,0,0,12,14,2,27.9,low
Fire,high,89,45,0,6,16,6,1.8,critical
Fire,medium,29,0,0,2,7,0,10.5,medium
Medical,medium,14,0,0,0,4,0,24.1,medium
Medical,critical,492,325,0,103,157,15,8.2,critical
Medical,medium,8,6,0,0,2,1,16.6,medium
Earthquake,critical,308,68,98,64,98,2,15.8,critical
Fire,critical,497,0,0,14,194,92,24.0,high
Structural Collapse,critical,259,237,55,42,23,31,29.7,critical
Earthquake,critical,238,84,0,65,74,38,6.5,critical
Chemical Spill,low,30,0,0,2,12,1,24.8,low
Flood,high,65,12,0,6,23,11,32.3,critical
Earthquake,low,24,0,0,3,3,0,24.6,low
Flood,high,11,10,0,1,4,0,21.8,high
Chemical Spill,critical,51,0,42,7,0,4,12.8,critical
Earthquake,critical,486,113,0,15,144,79,42.7,critical
Fire,medium,6,5,0,1,1,0,39.4,medium
Structural Collapse,low,14,0,0,0,3,2,36.9,low
Earthquake,low,2,1,0,0,0,0,38.8,low
Medical,medium,1,0,0,0,0,0,26.3,medium
Structural Collapse,medium,24,13,0,3,1,1,14.0,medium
Structural Collapse,high,35,24,0,6,4,7,47.8,critical
Medical,medium,3,0,2,0,1,0,33.8,high
Chemical Spill,low,13,1,0,1,1,1,38.5,low
Flood,critical,364,0,0,77,104,70,36.8,high
Earthquake,critical,462,431,0,110,131,26,34.7,critical
Chemical Spill,low,9,7,0,0,3,0,45.3,medium
Flood,medium,2,0,0,0,0,0,41.9,medium
Flood,medium,6,3,0,1,2,0,36.2,medium
Fire,medium,38,9,19,0,12,0,33.0,critical
Structural Collapse,medium,23,7,0,3,3,3,12.9,high
Chemical Spill,low,29,0,0,4,11,5,41.0,low
Flood,low,19,0,0,4,4,1,22.1,low
Structural Collapse,medium,4,0,0,0,1,0,39.5,medium
Flood,high,199,65,0,20,72,9,41.8,critical
Structural Collapse,medium,39,35,0,11,1,1,24.0,critical
Earthquake,critical,91,56,0,11,15,10,31.3,critical
Chemical Spill,medium,10,0,4,1,1,0,23.3,medium
Flood,low,22,0,0,4,6,2,20.8,low
Chemical Spill,low,11,0,4,3,4,1,36.3,low
Fire,low,10,3,0,0,2,2,25.5,low
Structural Collapse,low,7,0,0,0,0,1,40.9,low
Chemical Spill,medium,40,0,0,6,7,4,8.4,low
Medical,low,22,16,0,4,6,0,22.5,high
Earthquake,medium,34,0,0,10,0,4,26.5,medium
Chemical Spill,high,106,0,2,5,22,6,5.1,medium
Fire,medium,10,0,6,1,2,0,6.0,high
Medical,high,20,0,8,6,4,4,31.1,high
Medical,low,1,0,0,0,0,0,4.1,low
Medical,high,44,36,0,7,5,1,27.6,critical
Chemical Spill,critical,375,0,0,31,136,11,35.5,high
Flood,critical,439,0,0,65,161,85,43.4,high
Earthquake,low,0,0,0,0,0,0,9.2,low
Earthquake,high,90,0,0,27,19,0,13.2,medium
Structural Collapse,medium,45,30,0,8,12,2,24.9,critical
Structural Collapse,high,125,60,99,33,8,11,29.2,critical
Chemical Spill,low,38,0,0,10,7,4,28.6,low
Medical,low,7,0,0,1,2,0,38.5,low
Fire,critical,99,45,0,10,27,19,38.7,critical
Flood,low,36,33,0,0,3,3,8.4,critical
Chemical Spill,low,13,0,0,3,1,0,3.2,low
Fire,low,28,21,0,0,6,3,8.4,high
Medical,low,39,0,14,2,7,5,34.7,medium
Chemical Spill,low,36,8,0,6,7,6,9.9,high
Chemical Spill,critical,299,223,24,12,62,37,35.6,critical
Earthquake,critical,79,0,10,9,14,6,31.6,high
Fire,low,47,0,0,0,16,1,15.4,low
Medical,medium,25,0,0,7,4,3,12.7,medium
Fire,medium,24,8,23,2,9,2,29.0,critical
Flood,medium,43,0,0,6,17,6,34.6,medium
Structural Collapse,low,21,0,0,4,7,4,21.3,low
Fire,low,24,0,3,3,6,3,18.6,low
Medical,low,35,27,0,1,7,1,3.7,high
Earthquake,low,42,0,0,6,15,3,11.1,low
Chemical Spill,low,16,0,0,4,5,3,35.0,low
Flood,critical,485,0,0,33,7,9,14.8,high
Flood,critical,253,0,0,48,42,35,46.2,high
Flood,medium,47,0,37,5,7,9,12.7,critical
Fire,medium,18,4,7,4,4,3,30.8,critical
Structural Collapse,low,8,0,0,0,1,0,37.4,low
Medical,critical,102,0,0,30,31,0,26.7,high
Flood,low,37,0,0,10,12,7,43.2,low
Fire,medium,21,0,0,6,7,0,37.7,medium
Flood,low,8,2,0,0,3,0,38.3,low
Fire,critical,324,38,258,75,6,48,43.0,critical
Earthquake,low,0,0,0,0,0,0,6.1,low
Medical,low,44,30,9,3,1,2,34.5,critical
Structural Collapse,high,59,25,0,7,19,3,45.2,critical
Chemical Spill,high,77,0,0,6,10,4,0.9,low
Medical,low,3,1,0,0,1,0,40.8,low
Medical,medium,0,0,0,0,0,0,2.0,low
Chemical Spill,medium,21,0,0,2,4,2,36.5,medium
Structural Collapse,critical,482,215,0,107,182,39,16.2,critical
Medical,critical,229,0,0,41,16,44,41.2,high
Flood,high,64,10,46,18,7,12,9.6,critical
Structural Collapse,medium,14,9,7,0,3,2,28.6,critical
Earthquake,low,5,0,0,1,2,1,43.8,low
Medical,medium,46,0,0,5,10,2,45.6,medium
Earthquake,medium,26,0,13,3,5,3,35.0,high
Earthquake,high,51,24,0,1,15,9,5.3,critical
Medical,critical,292,233,22,24,20,57,39.8,critical
Medical,critical,423,74,350,121,2,55,31.9,critical
Fire,medium,21,16,19,6,0,1,23.9,critical
Medical,low,16,0,1,0,4,1,27.6,low
Chemical Spill,high,129,0,0,36,45,15,44.6,high
Chemical Spill,low,17,3,12,0,3,1,31.2,critical
Structural Collapse,high,85,1,0,24,3,13,2.5,high
Fire,high,16,2,0,0,1,1,21.6,medium
Earthquake,medium,23,0,0,2,1,4,47.3,medium
Medical,high,98,0,0,5,23,18,47.5,medium
Earthquake,critical,330,0,0,9,36,47,6.3,high
Chemical Spill,medium,4,0,3,0,1,0,42.5,high
Fire,high,118,0,10,1,0,11,18.2,high
Medical,medium,24,3,0,0,9,1,37.5,high
Structural Collapse,low,22,0,0,6,0,3,33.0,low
Flood,medium,17,0,0,2,5,0,16.7,medium
Flood,critical,346,270,99,31,95,67,18.4,critical
Chemical Spill,medium,5,0,4,1,1,0,39.9,high
Structural Collapse,medium,0,0,0,0,0,0,38.8,medium
Structural Collapse,critical,19,3,0,4,0,3,18.2,high
Earthquake,medium,23,0,0,0,1,3,24.1,medium
Fire,high,18,0,6,0,4,3,13.4,medium
Flood,medium,3,0,0,0,1,0,23.3,medium
Fire,medium,17,14,0,0,4,2,7.9,high
Structural Collapse,low,13,0,0,1,0,0,41.7,low
Structural Collapse,low,2,2,0,0,0,0,8.6,low
Fire,low,19,13,0,3,6,0,4.6,high
Flood,high,134,37,39,17,15,20,46.8,critical
Fire,low,7,0,0,2,0,0,40.1,low
Fire,low,1,0,0,0,0,0,38.1,low
Medical,high,170,13,0,1,42,2,10.5,critical
Chemical Spill,low,25,0,16,5,1,2,45.9,medium
Medical,medium,44,0,0,6,17,5,4.2,low
Earthquake,critical,75,0,0,15,0,0,29.6,medium
Earthquake,medium,46,0,0,10,6,8,46.1,medium
Medical,medium,2,0,0,0,0,0,32.7,medium
Structural Collapse,low,8,0,0,0,1,0,29.2,low
Earthquake,high,147,0,0,25,15,3,12.7,high
Earthquake,low,28,0,0,4,1,3,1.2,low
Fire,high,90,70,0,3,23,13,7.6,critical
Medical,low,22,0,0,4,2,1,19.6,low
Flood,high,47,0,0,13,6,0,35.9,medium
Flood,medium,45,22,0,12,9,5,34.7,critical
Earthquake,low,3,0,0,0,1,0,26.0,low
Flood,low,5,4,0,1,2,0,14.6,low
Chemical Spill,low,24,11,19,6,8,0,21.2,critical
Flood,medium,0,0,0,0,0,0,9.8,low
Fire,critical,119,71,0,34,47,14,19.1,critical
Medical,medium,1,1,0,0,0,0,33.3,medium
Earthquake,low,4,0,0,0,0,0,22.4,low
Fire,high,81,54,0,24,23,11,11.5,critical
Fire,high,161,152,141,13,53,12,31.3,critical
Earthquake,medium,36,7,6,7,6,2,40.8,critical
Chemical Spill,medium,31,0,0,6,4,4,1.8,low
Medical,low,28,0,0,4,11,0,27.9,low
Structural Collapse,low,19,0,0,1,1,3,7.0,low
Flood,medium,4,0,0,0,1,0,27.0,medium
Flood,high,198,40,0,25,70,38,41.7,critical
Structural Collapse,low,17,0,0,5,2,0,14.7,low
Earthquake,high,191,123,0,15,71,18,19.9,critical
Flood,critical,138,72,0,18,35,27,43.4,critical
Flood,critical,301,0,0,69,119,21,13.8,high
Medical,low,47,0,0,9,6,8,12.7,low
Flood,low,24,21,0,4,0,1,1.8,medium
Flood,medium,33,33,0,6,11,1,27.9,critical
Structural Collapse,low,39,0,20,8,11,1,47.0,high
Earthquake,low,26,0,0,7,8,5,7.5,low
Earthquake,critical,158,74,0,36,47,29,43.9,critical
Flood,medium,31,0,0,7,0,6,3.4,low
Structural Collapse,low,11,0,0,1,3,1,8.1,low
Flood,critical,120,0,0,11,23,7,19.3,high
Medical,low,45,44,0,3,5,7,37.9,critical
Chemical Spill,medium,4,0,0,0,0,0,22.3,medium
Medical,high,118,0,0,17,32,20,21.4,high
Earthquake,medium,12,0,0,0,0,0,32.2,medium
Structural Collapse,high,6,0,0,1,2,1,27.6,medium
Earthquake,critical,341,211,86,24,93,58,9.7,critical
Fire,medium,9,0,4,2,0,0,16.4,medium
Structural Collapse,low,21,0,0,5,6,3,40.8,low
Medical,low,39,0,0,4,3,3,32.3,low
Earthquake,low,31,31,19,3,7,1,24.0,critical
Flood,critical,312,94,0,64,71,11,6.7,critical
Earthquake,low,3,0,0,0,1,0,46.8,low
Fire,critical,472,0,0,94,141,53,29.4,high
Medical,critical,124,0,0,34,3,15,26.1,high
Flood,low,2,2,0,0,0,0,21.6,low
Flood,low,34,6,0,1,2,1,20.6,low
Fire,critical,279,0,0,49,15,7,21.3,high
Fire,low,4,0,0,0,1,0,31.0,low
Flood,medium,11,7,0,2,0,2,16.2,medium
Chemical Spill,critical,169,82,0,31,60,24,0.2,critical
Chemical Spill,medium,34,0,0,8,13,5,43.8,medium
Fire,medium,3,0,2,0,0,0,9.0,high
Earthquake,low,39,0,0,4,8,1,37.3,low
Chemical Spill,critical,197,0,0,38,72,17,22.6,high
Medical,low,6,0,0,1,2,0,46.2,low
Structural Collapse,low,16,0,0,0,1,3,13.3,low
Chemical Spill,high,163,0,0,20,60,30,13.9,high
Earthquake,medium,0,0,0,0,0,0,8.7,low
Earthquake,medium,41,5,0,9,2,1,9.9,high
Medical,low,24,20,0,2,9,4,11.4,high
Structural Collapse,high,119,46,113,1,27,16,19.2,critical
Structural Collapse,low,22,9,0,1,3,4,44.5,high
Medical,low,21,0,0,6,0,1,7.5,low
Structural Collapse,medium,1,1,0,0,0,0,28.5,medium
Earthquake,high,181,125,0,15,18,22,20.6,critical
Medical,high,94,72,0,24,33,15,1.3,critical
Earthquake,low,42,0,0,8,6,7,43.8,low
Earthquake,critical,165,0,0,15,15,32,24.5,high
Fire,low,16,14,9,4,1,2,9.1,critical
Chemical Spill,high,167,0,0,37,7,26,0.6,medium
Earthquake,low,36,0,0,2,10,7,0.9,low
Fire,low,33,15,0,0,12,5,43.9,high
Structural Collapse,critical,199,0,0,5,8,10,44.5,high
Flood,low,30,0,0,6,2,0,12.5,low
Chemical Spill,high,183,0,0,52,51,23,46.8,high
Chemical Spill,low,46,0,0,3,10,2,2.9,low
Fire,high,57,51,0,15,18,8,40.1,critical
Flood,low,28,0,0,2,9,0,7.4,low
Earthquake,low,22,0,0,3,1,3,4.6,low
Fire,low,41,0,0,8,9,8,27.5,low
Chemical Spill,medium,34,16,33,8,9,1,5.1,critical
Medical,low,30,0,11,0,10,6,32.2,medium
Chemical Spill,critical,358,67,318,81,141,26,32.8,critical
Flood,medium,13,12,3,1,2,0,23.7,medium
Fire,high,41,0,0,11,8,6,16.1,medium
Earthquake,low,28,7,0,0,6,5,37.8,high
Earthquake,medium,6,0,0,1,0,0,37.4,medium
Flood,high,45,6,0,3,16,5,4.5,high
Medical,critical,176,0,0,45,18,3,34.8,high
Chemical Spill,low,32,0,0,9,0,5,15.4,low
Fire,critical,182,3,0,30,19,10,16.8,high
Structural Collapse,medium,31,0,12,3,12,1,45.5,medium
Fire,high,180,0,0,9,69,0,4.6,medium
Earthquake,medium,47,30,0,1,13,3,41.3,critical
Flood,high,169,0,0,15,30,33,34.2,high
Flood,high,27,0,8,7,0,1,37.1,high
Medical,low,0,0,0,0,0,0,12.2,low
Medical,low,49,3,0,0,11,5,34.0,medium
Flood,critical,409,0,0,63,1,0,0.6,medium
Earthquake,high,46,46,9,2,12,7,1.0,critical
Earthquake,low,8,4,0,1,2,0,9.3,low
Structural Collapse,low,7,0,4,1,1,1,11.8,high
Flood,critical,293,245,0,66,115,21,36.2,critical
Structural Collapse,critical,28,0,17,4,6,0,47.3,critical
Flood,critical,201,0,0,11,40,1,20.7,high
Structural Collapse,low,0,0,0,0,0,0,3.3,low
Structural Collapse,critical,37,6,0,4,12,2,34.9,critical
Medical,low,2,0,0,0,0,0,34.8,low
Structural Collapse,high,30,4,0,3,6,1,17.4,high
Chemical Spill,high,28,2,0,6,1,0,12.4,high
Flood,low,21,16,0,1,5,2,6.1,high
Flood,high,42,0,0,5,10,1,19.4,medium
Chemical Spill,high,45,36,0,7,5,1,35.2,critical
Chemical Spill,low,2,0,0,0,0,0,26.7,low
Chemical Spill,high,28,0,0,5,4,3,16.8,medium
Medical,low,48,11,47,14,12,6,26.4,critical
Flood,medium,6,0,0,0,0,1,33.7,medium
Structural Collapse,medium,25,13,0,4,10,3,15.4,high
Structural Collapse,low,14,11,0,1,5,1,38.1,high
Structural Collapse,high,142,0,56,35,1,25,37.0,critical
Chemical Spill,critical,38,2,0,3,12,5,12.3,high
Flood,medium,21,0,0,3,3,4,7.8,low
Structural Collapse,medium,1,1,0,0,0,0,13.8,medium
Chemical Spill,medium,28,5,0,7,7,0,43.6,high
Chemical Spill,medium,23,12,0,4,7,2,30.7,high
Earthquake,medium,22,14,0,0,0,3,29.8,medium
Flood,critical,497,312,433,118,56,53,34.7,critical
Earthquake,medium,0,0,0,0,0,0,46.9,medium
Earthquake,medium,24,0,0,6,4,1,6.7,low
Flood,critical,89,0,0,26,34,2,41.0,medium
Chemical Spill,medium,22,14,0,6,7,1,36.9,high
Structural Collapse,critical,265,149,0,7,62,31,7.9,critical
Chemical Spill,low,26,0,0,7,6,5,34.5,low
Earthquake,low,27,0,4,4,0,1,40.3,low
Flood,critical,451,0,297,34,165,66,11.8,critical
Earthquake,critical,359,0,253,37,42,3,40.2,critical
Earthquake,critical,417,274,0,67,41,11,14.9,critical
Earthquake,low,3,0,0,0,1,0,19.0,low
Fire,medium,16,0,0,0,1,2,41.2,medium
Structural Collapse,low,49,24,0,5,12,2,3.0,high
Chemical Spill,low,27,16,0,7,8,0,18.3,high
Chemical Spill,high,158,0,0,44,26,26,7.3,medium
Earthquake,low,41,0,0,0,5,2,16.8,low
Medical,low,41,7,8,4,2,3,19.9,critical
Earthquake,critical,456,160,35,124,140,61,37.2,critical
Fire,low,47,17,0,5,13,6,7.9,high
Fire,critical,161,119,64,41,17,25,29.3,critical
Chemical Spill,critical,208,206,0,53,83,24,14.1,critical
Earthquake,medium,8,4,0,2,3,0,29.3,medium
Medical,medium,3,0,3,0,1,0,24.1,high
Flood,medium,8,8,4,0,2,0,34.8,medium
Earthquake,medium,4,0,0,0,0,0,10.7,medium
Earthquake,medium,10,0,0,1,0,1,1.4,low
Chemical Spill,low,38,4,0,5,11,5,36.1,medium
Chemical Spill,low,25,0,0,7,6,3,34.8,low
Medical,high,163,0,0,39,16,4,29.1,high
Earthquake,medium,47,0,7,0,1,4,0.5,low
Fire,low,33,0,32,6,1,4,17.3,critical
Medical,low,13,6,0,2,1,2,35.3,low
Chemical Spill,high,173,2,0,5,4,4,30.2,high
Earthquake,low,6,0,0,0,1,0,18.8,low
Flood,medium,26,0,0,1,0,1,0.6,low
Medical,low,11,0,0,2,0,0,13.7,low
Chemical Spill,critical,289,0,0,34,62,3,37.0,high
Medical,low,27,6,0,3,9,5,14.0,medium
Earthquake,critical,357,0,0,78,80,25,39.8,high
Medical,low,35,11,10,9,1,6,21.0,critical
Fire,critical,400,0,0,9,78,36,30.6,high
Flood,low,38,18,0,2,14,6,4.4,high
Flood,high,198,56,0,44,30,9,47.5,critical
Chemical Spill,high,81,0,0,1,10,5,31.6,medium
Earthquake,low,13,3,12,2,1,0,26.7,critical
Structural Collapse,low,27,0,0,8,8,0,44.5,low
Earthquake,medium,3,0,0,0,1,0,26.5,medium
Flood,critical,256,0,0,58,75,12,37.6,high
Flood,medium,6,5,0,1,1,0,45.5,medium
Structural Collapse,medium,33,0,16,3,1,3,46.2,high
Fire,high,85,20,43,18,6,5,17.3,critical
Flood,medium,36,0,11,9,9,4,36.5,medium
Flood,low,25,0,0,2,9,5,45.2,low
Fire,medium,4,3,0,0,1,0,20.8,medium
Earthquake,high,199,0,85,9,50,2,3.3,critical
